number_of_bedrooms,square_footage,locations,age,price
5.0,1917.0,downtown,35.0,232962.0
1.0,1730.0,defence phase 5,38.0,162866.0
4.0,1465.0,north nazimabad,15.0,189312.0
2.0,670.0,downtown,21.0,97673.0
6.0,1715.0,street no 01,20.0,246186.0
5.0,1604.0,street no 05,20.0,210009.0
4.0,1636.0,north nazimabad,,205218.0
1.0,862.0,street no 03,15.0,136260.0
1.0,959.0,street no 01,30.0,100766.0
3.0,2027.0,suburb area,9.0,266789.0
3.0,1480.0,street no 03,31.0,183096.0
2.0,1841.0,defence phase 5,33.0,188177.0
4.0,1514.0,street no 06,8.0,200736.0
4.0,1515.0,defence phase 5,16.0,209663.0
6.0,1969.0,street no 07,10.0,254608.0
6.0,1242.0,street no 08,31.0,216062.0
6.0,1548.0,gulberg,9.0,256706.0
3.0,1269.0,downtown,21.0,165162.0
4.0,1283.0,street no 04,16.0,186513.0
4.0,1345.0,street no 03,3.0,189672.0
1.0,1611.0,street no 05,24.0,153599.0
3.0,1261.0,street no 09,20.0,182521.0
5.0,2128.0,gulberg,,267427.0
3.0,1053.0,street no 06,37.0,138763.0
5.0,1407.0,north nazimabad,0.0,201546.0
1.0,1280.0,street no 09,24.0,143272.0
2.0,2223.0,north nazimabad,35.0,218634.0
4.0,1598.0,street no 06,16.0,191580.0
1.0,2016.0,street no 02,23.0,219261.0
4.0,757.0,gulberg,1.0,178077.0
6.0,1634.0,street no 05,39.0,226252.0
2.0,1945.0,suburb area,14.0,226631.0
2.0,1541.0,downtown,,165753.0
,2033.0,street no 09,38.0,1588354.2497173855
2.0,1241.0,street no 08,5.0,161543.0
5.0,,street no 07,0.0,275637.0
2.0,2649.0,street no 01,22.0,256331.0
4.0,1319.0,street no 04,38.0,187039.0
4.0,1277.0,suburb area,16.0,216020.0
4.0,2227.0,street no 07,,234587.0
4.0,2290.0,downtown,28.0,231859.0
5.0,1239.0,street no 07,8.0,199488.0
3.0,1290.0,north nazimabad,12.0,173790.0
6.0,1359.0,street no 06,5.0,216762.0
1.0,828.0,street no 08,5.0,135214.0
4.0,1041.0,downtown,19.0,146648.0
2.0,998.0,gulberg,2.0,157913.0
4.0,1116.0,street no 06,16.0,161365.0
2.0,1483.0,street no 10,11.0,183831.0
6.0,1617.0,street no 03,0.0,266514.0
6.0,2275.0,street no 04,16.0,293281.0
6.0,1001.0,defence phase 5,2.0,190561.0
2.0,1992.0,street no 03,25.0,223656.0
4.0,1393.0,street no 01,14.0,209126.0
6.0,1475.0,north nazimabad,35.0,203433.0
5.0,1837.0,street no 10,31.0,253947.0
2.0,939.0,street no 05,31.0,115902.0
,1691.0,north nazimabad,3.0,171039.0
4.0,1583.0,street no 01,17.0,211406.0
2.0,1746.0,street no 01,18.0,197704.0
2.0,1645.0,street no 02,34.0,202338.0
6.0,2728.0,gulberg,39.0,336366.0
4.0,1181.0,street no 04,13.0,189592.0
6.0,1235.0,street no 06,32.0,195399.0
6.0,1188.0,street no 08,13.0,214671.0
4.0,1222.0,gulberg,33.0,191104.0
1.0,1181.0,street no 03,3.0,149323.0
6.0,2095.0,street no 01,23.0,270443.0
5.0,2210.0,street no 03,28.0,301960.0
5.0,1215.0,suburb area,18.0,227017.0
2.0,1084.0,street no 03,5.0,149298.0
5.0,1736.0,street no 05,32.0,221894.0
2.0,1224.0,downtown,39.0,135908.0
1.0,1816.0,suburb area,18.0,193107.0
4.0,1601.0,suburb area,0.0,242492.0
4.0,742.0,street no 04,4.0,157299.0
4.0,2274.0,gulberg,26.0,267022.0
5.0,2398.0,street no 04,15.0,301323.0
,1194.0,street no 09,5.0,155995.0
5.0,1306.0,street no 07,39.0,189368.0
5.0,1643.0,street no 04,12.0,237391.0
1.0,1667.0,street no 03,34.0,195653.0
1.0,1829.0,street no 06,18.0,157096.0
1.0,2505.0,street no 03,11.0,257029.0
1.0,1412.0,street no 06,,130401.0
4.0,1101.0,downtown,9.0,160125.0
3.0,810.0,gulberg,24.0,141922.0
3.0,1135.0,downtown,,146178.0
1.0,1483.0,gulberg,30.0,165923.0
3.0,2397.0,gulberg,3.0,276950.0
3.0,1241.0,suburb area,22.0,180994.0
1.0,1612.0,street no 09,1.0,197964.0
3.0,1492.0,street no 06,21.0,178648.0
5.0,2094.0,,36.0,264699.0
2.0,2763.0,street no 04,,290893.0
,1235.0,north nazimabad,6.0,146516.0
1.0,1255.0,street no 05,13.0,130178.0
4.0,2022.0,gulberg,2.0,275617.0
1.0,1841.0,street no 06,15.0,185486.0
4.0,2423.0,downtown,18.0,253793.0
2.0,1792.0,street no 03,17.0,208902.0
1.0,1320.0,street no 08,15.0,158378.0
,1795.0,,7.0,273821.0
5.0,2054.0,street no 08,32.0,271109.0
3.0,1910.0,street no 10,11.0,235857.0
4.0,1754.0,street no 10,10.0,236481.0
6.0,2033.0,street no 03,4.0,294071.0
3.0,2085.0,street no 10,26.0,255760.0
3.0,2191.0,street no 07,11.0,251229.0
1.0,1824.0,downtown,16.0,171760.0
3.0,1416.0,gulberg,5.0,203278.0
5.0,1573.0,suburb area,32.0,225871.0
6.0,2103.0,street no 09,4.0,289201.0
3.0,1092.0,street no 04,27.0,156792.0
1.0,1684.0,street no 08,13.0,187147.0
5.0,1303.0,street no 03,4.0,216641.0
2.0,1514.0,street no 07,32.0,165046.0
6.0,2139.0,street no 03,18.0,296630.0
3.0,1596.0,suburb area,21.0,216922.0
1.0,1523.0,north nazimabad,4.0,151719.0
2.0,820.0,north nazimabad,1.0,126793.0
2.0,1873.0,street no 07,29.0,180963.0
4.0,1823.0,defence phase 5,38.0,206167.0
5.0,2582.0,downtown,3.0,283237.0
3.0,1346.0,street no 10,,179514.0
1.0,1610.0,street no 10,12.0,176706.0
4.0,1625.0,downtown,19.0,209800.0
5.0,2289.0,downtown,6.0,285695.0
4.0,,street no 06,14.0,180518.0
6.0,1640.0,street no 02,22.0,254251.0
5.0,1804.0,downtown,13.0,226433.0
5.0,1593.0,street no 03,22.0,229191.0
3.0,1277.0,street no 06,18.0,161139.0
5.0,1597.0,defence phase 5,28.0,209641.0
4.0,2037.0,street no 04,19.0,254651.0
5.0,987.0,street no 06,28.0,169329.0
3.0,1566.0,street no 01,23.0,180248.0
3.0,1150.0,street no 10,17.0,179785.0
6.0,2098.0,suburb area,,301307.0
,738.0,street no 01,7.0,162709.0
2.0,1221.0,street no 03,25.0,172428.0
2.0,1689.0,street no 08,28.0,199862.0
5.0,2283.0,street no 08,9.0,295078.0
6.0,1467.0,downtown,16.0,205944.0
1.0,1222.0,street no 04,1.0,158195.0
5.0,2441.0,street no 06,5.0,288777.0
6.0,776.0,north nazimabad,4.0,179768.0
4.0,401.0,street no 08,27.0,145861.0
4.0,1720.0,street no 07,4.0,206760.0
4.0,1249.0,,17.0,157402.0
4.0,989.0,street no 07,25.0,145484.0
4.0,1854.0,gulberg,19.0,256276.0
6.0,1622.0,street no 04,26.0,238183.0
6.0,,street no 09,11.0,221262.0
3.0,860.0,suburb area,6.0,175557.0
2.0,1936.0,street no 10,2.0,214140.0
4.0,1825.0,street no 06,9.0,224622.0
1.0,1450.0,defence phase 5,33.0,133673.0
6.0,2423.0,suburb area,24.0,326630.0
1.0,965.0,downtown,34.0,96702.0
1.0,737.0,street no 03,15.0,112506.0
1.0,1154.0,street no 05,1.0,119979.0
3.0,1477.0,street no 05,23.0,168891.0
6.0,1622.0,defence phase 5,9.0,250166.0
1.0,1379.0,street no 05,37.0,130692.0
4.0,1676.0,street no 08,21.0,239950.0
5.0,874.0,street no 09,25.0,173467.0
1.0,2222.0,gulberg,38.0,228531.0
3.0,1459.0,street no 09,26.0,184595.0
6.0,2059.0,gulberg,28.0,282878.0
3.0,1671.0,street no 06,37.0,187529.0
1.0,1728.0,street no 06,19.0,173999.0
6.0,,street no 09,26.0,251530.0
5.0,1724.0,street no 04,19.0,237759.0
1.0,1821.0,street no 06,18.0,171614.0
3.0,2165.0,street no 04,19.0,260605.0
2.0,1598.0,downtown,34.0,161168.0
4.0,1855.0,street no 01,1.0,227289.0
3.0,1455.0,street no 07,29.0,163479.0
6.0,2220.0,defence phase 5,33.0,272627.0
1.0,1162.0,street no 10,21.0,131397.0
4.0,2400.0,downtown,2.0,265985.0
1.0,1480.0,suburb area,5.0,182376.0
6.0,785.0,street no 06,14.0,164147.0
1.0,1564.0,street no 09,26.0,162906.0
2.0,1159.0,street no 07,9.0,147314.0
4.0,1920.0,gulberg,8.0,254988.0
4.0,1174.0,street no 07,32.0,155641.0
6.0,1277.0,street no 02,31.0,229218.0
2.0,555.0,suburb area,,121656.0
3.0,1274.0,downtown,35.0,145879.0
1.0,300.0,north nazimabad,1.0,61296.0
5.0,708.0,street no 09,28.0,157323.0
1.0,1880.0,street no 10,3.0,200349.0
1.0,1893.0,street no 09,0.0,203836.0
3.0,1713.0,street no 06,18.0,200362.0
1.0,1017.0,gulberg,,130719.0
2.0,1476.0,street no 03,24.0,181654.0
2.0,1498.0,street no 01,9.0,176658.0
4.0,921.0,street no 04,14.0,168966.0
6.0,2252.0,defence phase 5,21.0,287623.0
5.0,1939.0,defence phase 5,20.0,242220.0
1.0,1390.0,street no 03,21.0,152689.0
1.0,1513.0,defence phase 5,35.0,132284.0
3.0,1604.0,,33.0,218758.0
6.0,479.0,street no 01,29.0,149964.0
2.0,1376.0,street no 03,24.0,177555.0
5.0,1159.0,defence phase 5,27.0,184203.0
4.0,,defence phase 5,0.0,162121.0
2.0,1359.0,street no 04,3.0,171167.0
6.0,2399.0,gulberg,6.0,319374.0
4.0,1820.0,gulberg,8.0,241183.0
3.0,1214.0,north nazimabad,35.0,156590.0
3.0,1786.0,defence phase 5,18.0,198428.0
1.0,2200.0,street no 08,0.0,249086.0
6.0,1962.0,street no 09,9.0,280010.0
5.0,1530.0,street no 03,35.0,218770.0
4.0,1177.0,street no 06,8.0,162645.0
2.0,,street no 10,31.0,201038.0
6.0,1697.0,downtown,31.0,237429.0
6.0,1948.0,north nazimabad,5.0,256939.0
3.0,1818.0,street no 05,37.0,210115.0
1.0,2025.0,street no 06,16.0,183515.0
,1232.0,street no 04,9.0,993632.7538752441
,2159.0,street no 10,26.0,261881.0
3.0,1599.0,street no 06,,174595.0
6.0,2538.0,street no 07,20.0,290192.0
5.0,1155.0,street no 09,24.0,193657.0
3.0,2368.0,street no 10,27.0,254997.0
4.0,1599.0,street no 07,14.0,184791.0
4.0,1174.0,street no 06,3.0,174617.0
3.0,1258.0,street no 01,,156538.0
4.0,1340.0,street no 02,8.0,229703.0
3.0,1712.0,street no 01,26.0,206942.0
2.0,1761.0,street no 09,25.0,211004.0
,1213.0,street no 10,18.0,170916.0
3.0,1488.0,,27.0,194952.0
4.0,2571.0,street no 09,16.0,275759.0
4.0,2364.0,street no 07,19.0,254689.0
1.0,1718.0,gulberg,39.0,182026.0
1.0,1519.0,street no 02,38.0,171781.0
2.0,1560.0,street no 06,22.0,164701.0
1.0,1807.0,downtown,31.0,1226902.9250904755
3.0,989.0,street no 04,32.0,125360.0
4.0,1371.0,street no 01,4.0,199711.0
1.0,666.0,street no 01,33.0,85629.0
1.0,1700.0,suburb area,39.0,196001.0
2.0,1824.0,street no 05,10.0,195111.0
6.0,1258.0,suburb area,2.0,242390.0
2.0,2287.0,street no 02,32.0,258828.0
,887.0,street no 04,,131048.0
4.0,768.0,street no 01,15.0,139802.0
2.0,1612.0,street no 04,17.0,183280.0
1.0,2024.0,downtown,29.0,177967.0
4.0,2342.0,street no 06,9.0,246510.0
4.0,1271.0,street no 10,17.0,207060.0
1.0,2039.0,street no 04,37.0,196568.0
2.0,1481.0,street no 01,,172012.0
1.0,1414.0,street no 07,35.0,129728.0
6.0,1942.0,defence phase 5,12.0,272953.0
4.0,1826.0,street no 02,2.0,243213.0
5.0,712.0,street no 09,9.0,167403.0
5.0,2238.0,gulberg,37.0,293007.0
3.0,2190.0,street no 03,0.0,263696.0
1.0,1187.0,street no 08,26.0,138997.0
1.0,1698.0,gulberg,7.0,190807.0
3.0,1747.0,street no 08,16.0,223264.0
3.0,1630.0,street no 03,8.0,209911.0
3.0,1225.0,street no 04,5.0,178224.0
4.0,1164.0,street no 02,24.0,206215.0
6.0,1487.0,street no 04,38.0,224127.0
1.0,2086.0,downtown,27.0,180302.0
4.0,1772.0,downtown,32.0,205262.0
3.0,1315.0,downtown,36.0,146625.0
1.0,1886.0,defence phase 5,8.0,174740.0
4.0,300.0,street no 09,17.0,114055.0
6.0,2074.0,street no 02,20.0,298157.0
4.0,630.0,suburb area,1.0,171502.0
6.0,1319.0,suburb area,37.0,223039.0
3.0,940.0,gulberg,39.0,156856.0
6.0,853.0,street no 03,35.0,184237.0
1.0,2080.0,north nazimabad,36.0,176809.0
3.0,1266.0,downtown,14.0,144633.0
1.0,1673.0,downtown,27.0,166638.0
5.0,1477.0,north nazimabad,17.0,205654.0
2.0,1739.0,street no 04,33.0,199058.0
6.0,1538.0,street no 05,21.0,210116.0
2.0,859.0,street no 01,10.0,144803.0
2.0,1998.0,street no 07,12.0,208309.0
6.0,1253.0,defence phase 5,3.0,210190.0
3.0,722.0,street no 10,,133134.0
5.0,1286.0,street no 07,6.0,198080.0
1.0,2250.0,street no 09,,227962.0
4.0,1925.0,street no 04,3.0,252907.0
1.0,1326.0,defence phase 5,27.0,131161.0
4.0,1325.0,defence phase 5,14.0,186982.0
1.0,1339.0,street no 06,0.0,129426.0
6.0,2538.0,downtown,2.0,304893.0
5.0,1691.0,street no 02,13.0,243634.0
4.0,1715.0,suburb area,37.0,237333.0
3.0,2015.0,suburb area,0.0,254590.0
1.0,1619.0,defence phase 5,37.0,136941.0
1.0,1370.0,street no 04,37.0,138696.0
4.0,1402.0,street no 02,20.0,216383.0
3.0,1464.0,street no 10,28.0,189801.0
3.0,1481.0,street no 05,4.0,173335.0
6.0,1864.0,north nazimabad,9.0,243254.0
6.0,1526.0,street no 07,27.0,216495.0
6.0,1866.0,gulberg,20.0,272932.0
6.0,1460.0,street no 01,6.0,231717.0
6.0,1539.0,north nazimabad,2.0,233116.0
6.0,501.0,street no 10,19.0,167343.0
5.0,1958.0,street no 10,18.0,272738.0
3.0,1673.0,street no 07,34.0,180335.0
6.0,1999.0,street no 10,3.0,289179.0
3.0,300.0,gulberg,4.0,115496.0
3.0,2544.0,street no 06,0.0,267046.0
2.0,1430.0,street no 06,3.0,150999.0
5.0,2054.0,suburb area,11.0,296352.0
6.0,980.0,street no 08,26.0,212275.0
1.0,,street no 08,22.0,214034.0
4.0,973.0,street no 06,24.0,165324.0
1.0,1188.0,street no 03,20.0,134912.0
5.0,2457.0,street no 05,23.0,278618.0
4.0,1405.0,street no 02,24.0,233521.0
5.0,1609.0,north nazimabad,31.0,210169.0
3.0,1935.0,defence phase 5,31.0,209747.0
4.0,1748.0,street no 05,4.0,206912.0
3.0,1575.0,defence phase 5,35.0,178196.0
1.0,1682.0,street no 09,38.0,185060.0
1.0,2702.0,street no 10,15.0,277276.0
4.0,1471.0,street no 01,32.0,186782.0
4.0,1601.0,street no 10,20.0,218232.0
6.0,2025.0,street no 05,8.0,260194.0
5.0,2053.0,suburb area,5.0,283727.0
6.0,2094.0,street no 06,34.0,246478.0
5.0,1819.0,defence phase 5,38.0,224335.0
6.0,928.0,downtown,21.0,181644.0
3.0,2317.0,street no 07,4.0,248527.0
4.0,,street no 09,22.0,173135.0
1.0,1651.0,street no 06,16.0,168906.0
5.0,1123.0,street no 05,11.0,176206.0
,1468.0,suburb area,22.0,229160.0
1.0,1664.0,street no 07,15.0,152174.0
6.0,1661.0,gulberg,2.0,256441.0
5.0,1711.0,street no 01,29.0,227620.0
3.0,2307.0,downtown,21.0,211648.0
,1727.0,defence phase 5,8.0,222385.0
1.0,1378.0,street no 05,28.0,133056.0
4.0,1982.0,north nazimabad,36.0,226605.0
5.0,2095.0,street no 02,22.0,293085.0
5.0,886.0,street no 04,12.0,180417.0
1.0,1799.0,street no 07,31.0,173796.0
3.0,1851.0,street no 05,22.0,208296.0
2.0,1351.0,suburb area,16.0,177819.0
1.0,2188.0,street no 06,39.0,189878.0
2.0,1425.0,street no 02,20.0,168938.0
6.0,1563.0,street no 03,1.0,251602.0
2.0,1413.0,street no 07,36.0,139315.0
3.0,1508.0,downtown,5.0,183334.0
6.0,952.0,street no 02,17.0,204686.0
2.0,780.0,suburb area,29.0,121726.0
6.0,2297.0,street no 06,21.0,269400.0
2.0,1077.0,street no 05,32.0,116629.0
3.0,1004.0,street no 10,29.0,169750.0
2.0,423.0,street no 01,16.0,87990.0
2.0,1181.0,suburb area,31.0,170293.0
2.0,838.0,downtown,13.0,99163.0
1.0,2321.0,north nazimabad,9.0,205865.0
1.0,2005.0,street no 10,35.0,191454.0
1.0,1156.0,downtown,33.0,106026.0
3.0,2626.0,street no 04,8.0,274073.0
6.0,1991.0,downtown,27.0,243551.0
5.0,1338.0,street no 02,10.0,225378.0
2.0,300.0,street no 04,13.0,75879.0
2.0,2645.0,street no 01,38.0,235592.0
3.0,805.0,street no 02,18.0,155746.0
2.0,677.0,gulberg,14.0,125825.0
1.0,2011.0,street no 08,27.0,218259.0
5.0,2720.0,street no 06,23.0,293456.0
4.0,2192.0,street no 02,7.0,290968.0
2.0,1782.0,suburb area,8.0,234591.0
1.0,1797.0,north nazimabad,32.0,167131.0
4.0,,street no 06,32.0,214520.0
5.0,1879.0,street no 10,18.0,260804.0
4.0,1641.0,street no 09,2.0,224062.0
1.0,1552.0,street no 07,9.0,145389.0
6.0,1469.0,street no 09,39.0,232531.0
6.0,1123.0,street no 05,0.0,199968.0
4.0,1360.0,street no 07,28.0,181764.0
3.0,654.0,downtown,33.0,93104.0
,1451.0,north nazimabad,12.0,189624.0
2.0,1006.0,defence phase 5,0.0,129441.0
2.0,948.0,street no 07,33.0,97702.0
6.0,1590.0,suburb area,28.0,263512.0
3.0,2196.0,suburb area,12.0,285962.0
1.0,1959.0,street no 03,28.0,198942.0
2.0,715.0,street no 07,38.0,80079.0
6.0,1005.0,street no 01,23.0,182919.0
5.0,1970.0,street no 09,25.0,253707.0
6.0,1009.0,street no 10,16.0,219241.0
2.0,1388.0,gulberg,6.0,180590.0
2.0,1775.0,street no 06,12.0,182558.0
6.0,1016.0,street no 05,4.0,180598.0
1.0,1553.0,street no 07,25.0,146413.0
4.0,833.0,street no 05,2.0,146343.0
2.0,1199.0,street no 10,6.0,157145.0
6.0,1660.0,street no 05,38.0,217898.0
6.0,704.0,downtown,0.0,174407.0
3.0,1720.0,street no 10,16.0,218185.0
4.0,1490.0,downtown,24.0,183837.0
5.0,1776.0,street no 07,2.0,234249.0
1.0,1612.0,street no 10,14.0,191440.0
5.0,2182.0,north nazimabad,28.0,249471.0
4.0,1563.0,street no 07,31.0,183692.0
